symbol,side,entry_date,entry_px,exit_date,exit_px,qty,pnl,exit_reason,days_held
POLYCAB,L,2021-03-23,1354.9,2021-03-24,1151.66,18,-3658.23,SL,1
PERSISTENT,L,2021-03-24,967.0,2021-03-26,907.47,25,-1488.13,EMA13,2
SUPREMEIND,L,2021-03-31,2040.6,2021-04-06,2027.0,12,-163.2,EMA13,6
TIINDIA,L,2021-04-05,1200.1,2021-04-07,1170.0,20,-602.0,EMA13,2
SIEMENS,L,2021-04-07,1051.32,2021-04-08,1051.32,23,-0.09,EMA13,1
POLYCAB,L,2021-03-31,1384.9,2021-04-13,1345.25,18,-713.7,EMA13,13
PERSISTENT,L,2021-04-09,1005.0,2021-04-15,965.05,24,-958.8,EMA13,6
SRF,L,2021-04-12,1240.0,2021-05-10,1260.0,20,400.0,EMA13,28
SRF,L,2021-05-10,1260.0,2021-05-11,1259.88,19,-2.28,EMA13,1
JINDALSTEL,L,2021-04-12,404.9,2021-05-17,421.0,61,982.1,EMA13,35
HINDALCO,L,2021-04-28,368.85,2021-05-17,384.5,67,1048.55,EMA13,19
HINDALCO,L,2021-05-17,384.5,2021-05-21,388.7,65,273.0,EMA13,4
DRREDDY,L,2021-05-17,1050.0,2021-05-31,1043.4,23,-151.8,EMA13,14
IPCALAB,L,2021-05-31,1024.5,2021-06-01,1036.97,24,299.4,EMA13,1
AUROPHARMA,L,2021-06-01,1003.05,2021-06-02,971.0,24,-769.2,EMA13,1
SUPREMEIND,L,2021-05-21,2239.0,2021-06-07,2254.75,11,173.25,EMA13,17
